id,title,category,description,rating
1,Push Ups,Strength,Upper body workout,9.2
2,Squats,Strength,Lower body exercise,9.3
3,Plank,Core,Core strengthening exercise,9.1
4,Running,Cardio,Outdoor cardio workout,9.0
5,Cycling,Cardio,Improves endurance,8.9
6,Jump Rope,Cardio,High calorie burning exercise,9.1
7,Yoga,Flexibility,Improves flexibility and relaxation,9.4
8,HIIT,Fat Loss,High intensity interval training,9.5
9,Bench Press,Gym,Chest strength exercise,9.0
10,Deadlift,Gym,Full body compound exercise,9.3
