id,title,category,description,rating
1,Chicken Biryani,Dinner,Traditional Indian chicken biryani,9.7
2,Vegetable Fried Rice,Lunch,Healthy fried rice with vegetables,9.1
3,Masala Dosa,Breakfast,South Indian crispy dosa,9.6
4,Pasta Alfredo,Dinner,Creamy white sauce pasta,9.2
5,Pancakes,Breakfast,Fluffy pancakes with syrup,9.0
6,Chocolate Cake,Dessert,Rich chocolate cake recipe,9.5
7,Caesar Salad,Healthy,Fresh salad with dressing,8.9
8,Tomato Soup,Soup,Classic creamy tomato soup,8.8
9,Paneer Butter Masala,Indian,Creamy paneer curry,9.4
10,Fruit Smoothie,Beverage,Healthy mixed fruit smoothie,9.3
