id,title,category,description,rating
1,Paneer Butter Masala,Indian,Creamy North Indian curry,9.3
2,Masala Dosa,South Indian,Crispy dosa with potato filling,9.5
3,Chicken Biryani,Indian,Spiced rice with chicken,9.4
4,Veg Fried Rice,Chinese,Vegetable fried rice,8.8
5,Margherita Pizza,Italian,Classic cheese pizza,9.0
6,Burger,Fast Food,Juicy grilled burger,8.7
7,Pasta Alfredo,Italian,Creamy white sauce pasta,8.9
8,Sushi,Japanese,Rice rolls with seafood,9.0
9,Tacos,Mexican,Stuffed tortilla dish,8.8
10,Caesar Salad,Healthy,Fresh salad with dressing,8.7
