id,title,category,description,rating
1,Atomic Habits,Self Help,Build better habits through small improvements,9.5
2,Deep Work,Productivity,Improve focus and productivity,9.0
3,Rich Dad Poor Dad,Finance,Financial education and investing,8.9
4,The Alchemist,Fiction,A shepherd pursues his dreams,8.8
5,Harry Potter,Fantasy,A young wizard attends Hogwarts,9.4
6,The Hobbit,Fantasy,A hobbit goes on an epic adventure,9.2
7,Think and Grow Rich,Business,Principles of success and wealth,8.7
8,Ikigai,Self Help,Finding purpose in life,9.1
9,The Psychology of Money,Finance,Behavior and money management,9.3
10,Sapiens,History,A brief history of humankind,9.4
