id,title,category,description,rating
1,Shape of You,Pop,Popular song by Ed Sheeran,9.1
2,Blinding Lights,Pop,Hit song by The Weeknd,9.3
3,Believer,Rock,Rock song by Imagine Dragons,9.2
4,Thunder,Rock,Energetic rock song,8.9
5,Perfect,Romantic,Love song by Ed Sheeran,9.0
6,Someone Like You,Ballad,Adele's emotional ballad,9.1
7,Levitating,Pop,Dua Lipa hit song,8.8
8,Senorita,Pop,Shawn Mendes and Camila Cabello,8.9
9,Closer,EDM,Electronic dance music,8.8
10,Radioactive,Rock,Popular Imagine Dragons song,9.0
