id,title,category,description,rating
1,Interstellar,Sci-Fi,A team travels through a wormhole to save humanity,8.7
2,Inception,Sci-Fi,A thief enters dreams to steal secrets,8.8
3,The Dark Knight,Action,Batman fights the Joker in Gotham,9.0
4,Avengers Endgame,Superhero,Marvel heroes unite to defeat Thanos,8.5
5,Titanic,Romance,A tragic love story aboard the Titanic,7.9
6,The Matrix,Sci-Fi,A hacker discovers reality is a simulation,8.7
7,John Wick,Action,A retired assassin seeks revenge,8.0
8,The Shawshank Redemption,Drama,Hope and friendship inside prison,9.3
9,Forrest Gump,Drama,Life journey of Forrest Gump,8.8
10,Avatar,Fantasy,Humans explore the planet Pandora,7.8
